Date,VTI,SPY,EFA,EEM,TLT,IEF,LQD
2003-04-14,27.6389,58.4907,16.8598,7.2367,40.4612,44.2745,42.0231
2003-04-15,27.8186,59.0365,17.0909,7.3227,40.6797,44.4302,42.1
2003-04-16,27.4493,58.0305,16.978,7.4072,40.8471,44.5288,42.3845
2003-04-17,27.8751,58.8919,17.2233,7.4603,40.9122,44.4717,42.2961
2003-04-21,27.8685,58.951,17.1633,7.4574,40.8239,44.3887,42.3845
2003-04-22,28.4373,60.0623,17.4121,7.4825,40.8006,44.399,42.4037
2003-04-23,28.6769,60.6147,17.5656,7.5176,40.8843,44.3783,42.6498
2003-04-24,28.4473,60.0754,17.428,7.3693,41.2516,44.6379,42.8997
2003-04-25,28.0548,59.3324,17.1192,7.2475,41.3446,44.7106,42.9035
2003-04-28,28.5504,60.3582,17.4227,7.3671,41.2795,44.6638,42.9266
2003-04-29,28.6436,60.5687,17.5233,7.577,41.2098,44.5859,42.7728
2003-04-30,28.6902,60.4371,17.6133,7.5555,41.5911,44.8559,43.0765
2003-05-01,28.6569,60.4305,17.6856,7.5262,41.6112,44.8935,43.3178
2003-05-02,29.0595,61.292,17.8391,7.6415,41.284,44.6485,43.1706
2003-05-05,29.0428,61.1736,17.975,7.7239,41.5036,44.7893,43.3643
2003-05-06,29.2424,61.7523,18.3544,7.7633,41.7093,45.0655,43.5929
2003-05-07,29.1426,61.4103,18.185,7.749,42.1954,45.3783,43.8834
2003-05-08,28.8432,60.7922,17.9115,7.6809,42.2983,45.4252,43.8872
2003-05-09,29.2591,61.6339,18.1374,7.7712,42.3404,45.4982,43.8097
2003-05-12,29.6084,62.3901,18.2821,7.8794,42.6068,45.6911,43.9608
2003-05-13,29.5751,62.2783,18.2803,7.835,42.7003,45.7328,43.9647
2003-05-14,29.4687,62.1468,18.2856,7.7956,43.3547,45.983,44.1584
2003-05-15,29.7015,62.5413,18.3174,7.8113,43.4903,45.9361,44.1429
2003-05-16,29.6383,62.3836,18.5433,7.8171,43.8081,46.1811,44.4373
2003-05-19,28.943,60.9237,18.0421,7.6308,43.6585,46.1706,44.2552
2003-05-20,28.9131,60.7988,18.2221,7.6688,44.3036,46.4782,44.3908
2003-05-21,29.0329,60.9237,18.0333,7.6752,44.2989,46.3322,44.3908
2003-05-22,29.2258,61.5287,18.275,7.7447,44.6916,46.5512,44.689
2003-05-23,29.3489,61.6536,18.3791,7.8242,44.8037,46.499,44.751
2003-05-27,29.9344,62.732,18.538,8.1044,43.9951,46.327,44.5961
2003-05-28,29.9677,62.9096,18.6262,8.1395,43.9203,46.3375,44.4179
2003-05-29,29.9178,62.7452,18.7144,8.1502,44.3036,46.5825,44.7394
2003-05-30,30.3636,63.7513,18.7497,8.2448,44.2194,46.5564,44.7588
2003-06-02,30.49,64.0143,18.9244,8.3043,43.8946,46.3755,44.569
2003-06-03,30.6729,64.2773,18.9703,8.2412,44.2467,46.6839,44.9782
2003-06-04,31.1121,65.2045,19.085,8.3473,44.3781,46.8199,45.0367
2003-06-05,31.2817,65.5267,19.2774,8.3559,44.0307,46.6526,44.9626
2003-06-06,31.2052,65.2703,19.3938,8.434,44.1904,46.6003,45.0367
2003-06-09,30.7894,64.6061,19.2544,8.3616,44.4861,46.8565,45.1341
2003-06-10,31.0722,65.2637,19.4097,8.4476,45.0165,47.1178,45.4849
2003-06-11,31.4448,65.9541,19.7291,8.4548,44.9602,47.0185,45.4342
2003-06-12,31.508,66.158,19.7821,8.5185,45.3122,47.2014,45.5979
2003-06-13,31.1986,65.4675,19.6674,8.5157,45.6174,47.374,45.7889
2003-06-16,31.8373,66.8484,19.955,8.6074,45.1855,47.1283,45.6213
2003-06-17,31.8872,66.8484,19.9956,8.7844,44.8288,46.8721,45.4772
2003-06-18,31.8207,66.7893,19.9391,8.7521,44.2561,46.5898,45.0562
2003-06-19,31.3316,65.77,19.7027,8.7521,44.1716,46.6578,45.1341
2003-06-20,31.3716,65.6248,19.7291,8.7521,44.0073,46.5846,44.9198
2003-06-23,30.921,64.9517,19.5103,8.5372,44.2702,46.7623,45.1458
2003-06-24,31.0045,65.0177,19.3568,8.4741,44.6786,46.9819,45.212
2003-06-25,30.8042,64.3643,19.1644,8.5443,43.9651,46.6264,44.9822
2003-06-26,31.138,65.2025,19.2527,8.6368,43.3736,46.1664,44.5885
2003-06-27,30.8743,64.4501,19.108,8.5966,43.2187,46.1247,44.4716
2003-06-30,30.8543,64.4303,19.1132,8.5909,43.4205,46.2344,44.6781
2003-07-01,31.0745,65.0243,19.2262,8.684,43.2052,46.3571,44.4362
2003-07-02,31.4183,65.8426,19.6056,8.8883,43.3136,46.4045,44.593
2003-07-03,31.2047,65.1629,19.4997,8.9133,42.6915,46.1096,44.3186
2003-07-07,31.8055,66.4563,19.8579,9.134,42.4182,45.8621,44.103
2003-07-08,31.989,66.7533,19.7644,9.1598,42.456,45.8779,44.1422
2003-07-09,31.8722,66.3772,19.6621,9.1383,42.5926,45.9621,44.299
2003-07-10,31.4717,65.5324,19.5615,8.9778,42.5785,46.0675,44.3892
2003-07-11,31.7087,66.1528,19.5191,9.053,42.7811,46.2307,44.4441
2003-07-14,31.9523,66.4761,19.7291,9.2121,42.291,45.9621,44.3264
2003-07-15,31.7921,66.331,19.5438,9.096,41.3015,45.3354,43.8207
2003-07-16,31.6285,65.9416,19.3974,9.1032,41.5371,45.3512,43.8051
2003-07-17,31.218,65.0045,19.0938,8.8653,41.4099,45.2564,43.6012
2003-07-18,31.5384,65.671,19.3938,8.9835,41.3251,45.1405,43.7854
2003-07-21,31.0745,64.8593,19.2456,8.8646,40.4486,44.5507,43.2563
2003-07-22,31.3849,65.4466,19.1997,8.9706,40.6465,44.7087,43.221
2003-07-23,31.4216,65.4928,19.4838,8.9133,40.7832,44.8456,43.5071
2003-07-24,31.178,64.9979,19.5156,8.9563,40.425,44.6718,43.3189
2003-07-25,31.7254,66.1462,19.7609,9.1032,40.3167,44.6138,43.221
2003-07-28,31.6953,65.902,19.8121,9.1534,39.7748,44.2873,42.7897
2003-07-29,31.5017,65.5984,19.7291,9.1018,39.2329,43.8555,42.3977
2003-07-30,31.4951,65.44,19.565,9.0351,39.6758,44.2083,42.6133
2003-07-31,31.5718,65.5919,19.4027,9.0781,39.0868,43.9134,42.084
2003-08-01,31.208,65.0111,19.3991,9.0982,39.0575,44.0924,42.2092
2003-08-04,31.2881,65.0111,19.4556,9.0581,39.3936,44.4165,42.4578
2003-08-05,30.7308,63.6318,19.2738,8.9606,38.8303,44.119,42.2644
2003-08-06,30.7542,64.0014,19.2438,8.9205,39.5971,44.5705,42.4262
2003-08-07,30.9544,64.6745,19.3585,8.9857,39.7628,44.7299,42.6591
2003-08-08,31.0412,64.8593,19.4185,9.0459,39.6019,44.7246,42.6828
2003-08-11,31.188,65.1035,19.6056,9.0853,39.403,44.5387,42.517
2003-08-12,31.5384,65.6974,19.6885,9.1211,39.2184,44.459,42.4696
2003-08-13,31.3515,65.3609,19.7027,9.2501,38.461,43.9649,41.9921
2003-08-14,31.5451,65.539,19.9832,9.3719,38.8397,44.0553,42.0473
2003-08-15,31.5218,65.7436,19.9373,9.2787,38.816,44.0393,42.1302
2003-08-18,31.8822,66.3112,20.2144,9.4765,38.9959,44.1721,42.2684
2003-08-19,31.999,66.562,20.1703,9.5231,39.5971,44.5227,42.6433
2003-08-20,31.9957,66.2914,20.1332,9.5245,39.3841,44.3102,42.513
2003-08-21,32.1392,66.5026,20.1703,9.6993,39.2894,44.1456,42.3078
2003-08-22,31.8055,65.8426,20.0538,9.7488,39.4646,44.1774,42.513
2003-08-25,31.7721,65.9482,19.9726,9.6728,39.1569,43.9862,42.3236
2003-08-26,31.8789,66.067,19.8685,9.5546,39.4646,44.1456,42.4065
2003-08-27,31.9223,66.0868,19.9038,9.6657,39.2847,44.0393,42.3986
2003-08-28,32.1559,66.496,20.0203,9.733,39.6918,44.3474,42.7104
2003-08-29,32.3261,66.9447,20.0415,9.8032,39.5971,44.2252,42.6946
2003-09-02,32.7966,67.8422,20.345,9.9487,39.0179,44.0451,42.5929
2003-09-03,32.8901,68.2118,20.6115,10.0275,39.0798,44.1576,42.7161
2003-09-04,32.9869,68.2448,20.5868,10.0633,39.2985,44.4418,42.8632
2003-09-05,32.81,67.862,20.6273,10.054,39.9737,45.0048,43.1891
2003-09-08,33.1237,68.423,20.7191,10.2446,39.56,44.7957,43.0301
2003-09-09,32.8901,67.9742,20.7597,10.0669,39.8453,45.0102,43.1652
2003-09-10,32.4295,67.2879,20.5497,9.8992,40.2494,45.3157,43.511
2003-09-11,32.6398,67.4859,20.6644,9.8878,39.9879,45.1549,43.2844
2003-09-12,32.7299,67.6112,20.7526,9.958,40.2637,45.3372,43.6024
2003-09-15,32.5564,67.3737,20.8126,9.8111,40.2019,45.4176,43.6183
2003-09-16,33.0737,68.357,21.0191,10.0132,40.1401,45.3801,43.7137
2003-09-17,32.9568,68.225,21.1567,9.9702,40.6394,45.6321,43.98
2003-09-18,33.374,69.0301,21.3791,10.0848,40.6679,45.6267,43.9204
2003-09-19,33.2539,68.679,21.2997,10.0382,40.7154,45.6267,43.9641
2003-09-22,32.8734,67.937,21.0597,9.8742,40.3921,45.4284,43.8011
2003-09-23,33.057,68.1954,21.1073,9.8985,40.6679,45.5356,43.8647
2003-09-24,32.4863,66.9831,21.005,9.9164,41.0197,45.7661,44.0317
2003-09-25,32.2093,66.4332,20.735,9.7695,41.2242,45.8305,44.1827
2003-09-26,31.9923,66.2146,20.6468,9.7015,41.5951,46.179,44.457
2003-09-29,32.1799,66.8638,20.9115,9.7703,41.2622,45.9806,44.3378
2003-09-30,31.9857,66.2146,20.6468,9.7395,41.9469,46.4256,44.6319
2003-10-01,32.6254,67.6257,21.3244,9.9952,41.7879,46.6316,44.7603
2003-10-02,32.7727,67.8708,21.2909,10.1385,41.597,46.464,44.5883
2003-10-03,33.1311,68.4935,21.6014,10.2389,40.7232,45.8205,43.9681
2003-10-06,33.2751,68.8049,21.8273,10.2783,40.8998,45.9557,44.0122
2003-10-07,33.4258,69.0699,21.7938,10.2675,40.4271,45.6908,43.8642
2003-10-08,33.2986,68.8976,21.7038,10.3442,40.4176,45.7719,44.0242
2003-10-09,33.3856,69.0831,21.8538,10.5183,40.1311,45.6259,43.8721
2003-10-10,33.4392,69.2752,21.9456,10.6473,40.3698,45.761,44.0882
2003-10-13,33.677,69.4939,22.1626,10.8085,40.2123,45.6908,44.0602
2003-10-14,33.8277,69.739,22.2791,10.6021,39.9354,45.5069,43.8801
2003-10-15,33.7105,69.5535,22.0673,10.7304,39.7396,45.3447,43.8841
2003-10-16,33.8478,69.8317,22.1997,10.7275,39.582,45.096,43.7441
2003-10-17,33.4827,69.0699,22.085,10.6623,39.8876,45.3393,43.9841
2003-10-20,33.61,69.5866,22.3214,10.7218,40.0213,45.3717,44.0242
2003-10-21,33.6569,69.4674,22.2455,10.7755,40.1693,45.4528,44.0402
2003-10-22,33.2249,68.5929,22.0285,10.6172,40.5608,45.7827,44.1682
2003-10-23,33.2751,68.467,21.7497,10.461,40.2648,45.6367,43.9281
2003-10-24,33.0875,68.6194,21.792,10.4058,40.7137,45.9557,44.2482
2003-10-27,33.2785,68.6525,21.8891,10.5255,40.6324,45.8314,44.1482
2003-10-28,33.7206,69.5866,22.1467,10.6695,40.8473,46.0477,44.4402
2003-10-29,33.8612,69.6793,22.1203,10.7583,40.4797,45.7503,44.1282
2003-10-30,33.7674,69.8251,22.145,10.7196,40.2982,45.5826,44.0681
2003-10-31,33.9215,69.7589,21.9879,10.6337,40.6754,45.7448,44.0681
2003-11-03,34.1292,70.2159,22.0991,10.8873,40.4827,45.5707,44.0911
2003-11-04,34.0287,70.0636,22.2208,10.9174,40.7128,45.7335,44.1593
2003-11-05,34.089,70.1166,22.0938,10.9317,40.4348,45.5707,43.8501
2003-11-06,34.233,70.4876,21.8997,10.8536,40.056,45.3374,43.6091
2003-11-07,34.0789,69.9642,22.1026,10.8651,40.0321,45.2614,43.6934
2003-11-10,33.9081,69.6793,21.9191,10.7153,39.9985,45.2452,43.5649
2003-11-11,33.8445,69.6595,21.8361,10.5778,40.0033,45.3157,43.7537
2003-11-12,34.2531,70.4412,22.2914,10.7662,40.2957,45.4622,43.7778
2003-11-13,34.3067,70.4611,22.4185,10.8493,40.919,45.8582,44.1915
2003-11-14,34.0421,69.8649,22.2667,10.7942,41.1922,46.1078,44.4324
2003-11-17,33.7741,69.5137,21.8838,10.5835,41.2546,46.162,44.5168
2003-11-18,33.4895,68.7917,21.9703,10.6043,41.5087,46.3519,44.7136
2003-11-19,33.7273,69.3746,22.0232,10.5355,41.0484,46.0372,44.32
2003-11-20,33.4794,68.7519,21.882,10.3994,41.4464,46.3248,44.5328
2003-11-21,33.4995,69.0368,22.1185,10.4896,41.4703,46.3031,44.6815
2003-11-24,34.0789,69.9509,22.2844,10.6036,41.1299,46.059,44.3802
2003-11-25,34.1627,70.2159,22.3197,10.6401,41.3553,46.1729,44.5208
2003-11-26,34.3502,70.4677,22.5085,10.7376,41.1875,46.059,44.4244
2003-11-28,34.4306,70.5207,22.5438,10.8336,40.8135,45.7551,44.2035
2003-12-01,34.7823,71.2826,22.9902,11.1438,40.5861,45.4756,44.1116
2003-12-02,34.6952,71.1037,23.0449,11.0944,40.7595,45.6061,44.2326
2003-12-03,34.5713,70.9911,23.0908,11.0557,40.5957,45.4864,44.1559
2003-12-04,34.6985,71.2826,23.1438,10.9797,40.6873,45.5844,44.1922
2003-12-05,34.4072,70.7857,22.9779,10.9589,41.3377,46.1392,44.6519
2003-12-08,34.6918,71.2627,23.1702,10.9804,41.0486,45.9651,44.3172
2003-12-09,34.3268,70.7128,23.0732,10.9346,40.7595,45.7367,44.1761
2003-12-10,34.2297,70.7062,22.9073,10.8909,40.827,45.8509,44.2769
2003-12-11,34.6885,71.5012,23.1614,11.0894,41.1209,46.1283,44.4785
2003-12-12,34.799,71.6403,23.2373,11.1402,41.198,46.1283,44.5995
2003-12-15,34.5244,71.2826,23.082,11.1488,41.1739,46.1065,44.4987
2003-12-16,34.6985,71.6535,23.3778,11.1023,41.3088,46.6614,45.1664
2003-12-17,34.799,71.8788,23.3229,10.9733,41.5883,46.7823,45.2685
2003-12-18,35.1675,72.687,23.67,11.1503,41.964,46.9417,45.5298
2003-12-19,35.1172,72.4846,23.5372,11.1775,41.9496,46.9472,45.5584
2003-12-22,35.3163,72.9905,23.6927,11.3353,41.8339,46.8208,45.4726
2003-12-23,35.4509,73.0371,23.7429,11.3663,41.3618,46.5022,45.2113
2003-12-24,35.4172,72.9639,23.8003,11.403,41.752,46.7933,45.4808
2003-12-26,35.4172,73.0171,23.7572,11.4318,41.9062,46.9417,45.4931
2003-12-29,35.8545,73.9889,24.1569,11.6045,41.5304,46.656,45.4032
2003-12-30,35.9083,74.0023,24.2035,11.6599,41.3618,46.6065,45.2276
2003-12-31,35.8074,74.0688,24.5136,11.8069,41.3618,46.6887,45.3404
2004-01-02,35.8309,74.0355,24.5799,12.0698,40.8729,46.3138,45.0165
2004-01-05,36.2312,74.8409,25.053,12.4933,40.7664,46.2752,45.0657
2004-01-06,36.3556,74.9141,25.0906,12.3521,41.2166,46.6225,45.4716
2004-01-07,36.4599,75.1671,24.8397,12.3809,41.3812,46.7272,45.5085
2004-01-08,36.5944,75.4666,25.1964,12.4277,41.3666,46.7272,45.5823
2004-01-09,36.359,74.8076,25.0369,12.4054,42.0879,47.2784,45.9514
2004-01-12,36.5272,75.3601,25.0297,12.3946,42.054,47.2784,46.0293
2004-01-13,36.4431,74.9208,24.8845,12.324,42.3396,47.532,46.1523
2004-01-14,36.7055,75.5465,25.0996,12.3435,42.5477,47.6257,46.2507
2004-01-15,36.8602,75.7328,24.9473,12.0914,42.7074,47.6533,46.4599
2004-01-16,36.9712,76.0324,24.8577,12.1433,42.4073,47.4548,46.2549
2004-01-20,37.0653,76.0124,25.1265,12.4962,42.3976,47.3722,46.1605
2004-01-21,37.2234,76.6114,25.4312,12.5127,42.4993,47.51,46.2671
2004-01-22,37.1965,76.4117,25.4473,12.481,42.8091,47.7139,46.5009
2004-01-23,37.1292,76.1655,25.1749,12.4602,42.296,47.3556,46.1318
